District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Lamjung,Gandaki,Hill,Western,2070/71,2013/14,Others,0
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Stool Test,2842
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Occult blood,247
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Reducing sugar,161
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Urine test,11285
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Bile salts,6
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Bile Pigments,0
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Urobili nogen,0
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Porpho bilinogen,0
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Acetone,36
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Chyle,0
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Semen Analysis,59
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Bence John's Protein,0
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Specific gravity,4
Tanahu,Gandaki,Hill,Western,2070/71,2013/14,Others,9
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Stool Test,2061
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Occult blood,21
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Reducing sugar,0
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Urine test,6360
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Bile salts,0
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Bile Pigments,0
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Urobili nogen,0
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Porpho bilinogen,0
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Acetone,4
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Chyle,0
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Semen Analysis,3
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Bence John's Protein,0
Syangja,Gandaki,Hill,Western,2070/71,2013/14,Specific gravity,0
